Ticker,Company Name,Date,Price,Open,High,Low,Vol.,Change %
AGX,Argan Inc,12/9/2025,332.87,321.44,334.25,319.27,428.38K,4.25%
AGX,Argan Inc,12/10/2025,325.77,328.03,338,322.5,559.57K,-2.13%
AGX,Argan Inc,12/11/2025,330.6,325.63,341,318,395.56K,1.48%
AGX,Argan Inc,12/12/2025,319.91,328,331.55,307.64,479.40K,-3.23%
AGX,Argan Inc,12/15/2025,317.58,325.61,325.61,314.7,282.17K,-0.73%
AGX,Argan Inc,12/16/2025,320.1,316.3,326.63,312.48,245.59K,0.79%
AGX,Argan Inc,12/17/2025,296.56,320,329.59,290.1,459.42K,-7.35%
AGX,Argan Inc,12/18/2025,313.9,300.51,317.43,300.37,284.30K,5.85%
AGX,Argan Inc,12/19/2025,325.59,316.37,329,316.37,420.08K,3.72%
AGX,Argan Inc,12/22/2025,337.9,333.08,343.95,328,246.33K,3.78%
AGX,Argan Inc,12/23/2025,333.23,336.7,343.77,332.25,233.42K,-1.38%
AGX,Argan Inc,12/24/2025,328.26,331.15,331.67,325.83,77.34K,-1.49%
AGX,Argan Inc,12/26/2025,325.14,331.84,332.17,323,140.17K,-0.95%
AGX,Argan Inc,12/29/2025,320.73,321.64,328.35,316.8,201.26K,-1.36%
AGX,Argan Inc,12/30/2025,315.44,320.5,320.78,314.97,124.95K,-1.65%
AGX,Argan Inc,12/31/2025,313.32,315,318.38,310.94,179.99K,-0.67%
AGX,Argan Inc,1/2/2026,325.96,317.06,328.34,317.06,209.58K,4.03%
AGX,Argan Inc,1/5/2026,339.54,331.08,343,331.08,217.17K,4.17%
AGX,Argan Inc,1/6/2026,330.42,336.54,336.54,313.02,366.95K,-2.69%
AGX,Argan Inc,1/7/2026,337.03,333.01,342,324,350.53K,2.00%
AGX,Argan Inc,1/8/2026,313.98,337.9,342.05,307.17,420.84K,-6.84%
AGX,Argan Inc,1/9/2026,311.87,318,320,305.96,300.46K,-0.67%
AGX,Argan Inc,1/12/2026,309.26,309.28,322,305.69,237.22K,-0.84%
AGX,Argan Inc,1/13/2026,314.09,312.13,322.68,310.75,307.19K,1.56%
AGX,Argan Inc,1/14/2026,317.76,313.43,321.97,308.58,305.93K,1.17%
AGX,Argan Inc,1/15/2026,329.66,322.73,337.2,322.73,248.64K,3.74%
AGX,Argan Inc,1/16/2026,383.66,335.53,392.48,335.53,893.46K,16.38%
AGX,Argan Inc,1/20/2026,384.34,371.38,394.11,371.38,464.50K,0.18%
AGX,Argan Inc,1/21/2026,397.42,385.55,397.99,380.75,398.66K,3.40%
AGX,Argan Inc,1/22/2026,380.36,396.09,400,375,335.48K,-4.29%
AGX,Argan Inc,1/23/2026,363.88,376.1,378.04,363.23,276.79K,-4.33%
AGX,Argan Inc,1/26/2026,353.5,363.28,366.38,347.79,341.12K,-2.85%
AGX,Argan Inc,1/27/2026,362.58,359.08,365.58,349.6,353.04K,2.57%
AGX,Argan Inc,1/28/2026,358.87,363.63,366.6,350,284.50K,-1.02%
AGX,Argan Inc,1/29/2026,355.51,362.2,363,342.98,375.40K,-0.94%
AGX,Argan Inc,1/30/2026,347.11,350.5,367,345.92,528.71K,-2.36%
AGX,Argan Inc,2/2/2026,355.77,350.71,360,349.76,297.27K,2.49%
AGX,Argan Inc,2/3/2026,381.73,364.79,381.74,364.79,354.98K,7.30%
AGX,Argan Inc,2/4/2026,354.14,386,386,333.39,647.78K,-7.23%
AGX,Argan Inc,2/5/2026,345.97,345.72,361.24,340,321.76K,-2.31%
AGX,Argan Inc,2/6/2026,352.09,357,372.18,351.59,417.31K,1.77%
AGX,Argan Inc,2/9/2026,370,356.35,373.77,352.87,403.79K,5.09%
AGX,Argan Inc,2/10/2026,371.47,368.14,377,365.9,270.18K,0.40%
